tris,type,size,time
QUICK_SORT,ORDERED,1,6.63333e-05
QUICK_SORT,ORDERED,2,5.03333e-05
QUICK_SORT,ORDERED,4,6.23333e-05
QUICK_SORT,ORDERED,8,0.000116
QUICK_SORT,ORDERED,16,0.000157333
QUICK_SORT,ORDERED,32,0.000208333
QUICK_SORT,ORDERED,64,0.000352
QUICK_SORT,ORDERED,128,0.000582333
QUICK_SORT,ORDERED,256,0.001126
QUICK_SORT,ORDERED,512,0.00221367
QUICK_SORT,ORDERED,1024,0.004877
QUICK_SORT,ORDERED,2048,0.0101437
QUICK_SORT,ORDERED,4096,0.0218697
QUICK_SORT,ORDERED,8192,0.0494227
QUICK_SORT,ORDERED,16384,0.114445
QUICK_SORT,ORDERED,32768,0.286833
QUICK_SORT,ORDERED,65536,0.64752
QUICK_SORT,ORDERED,131072,1.57718
QUICK_SORT,ORDERED,262144,3.61404
QUICK_SORT,ORDERED,524288,6.72896
QUICK_SORT,ORDERED,1048576,12.217
