tris,type,size,time
NATIVE_SORT,RANDOM,262144,15.2779
NATIVE_SORT,RANDOM,524288,29.3123
NATIVE_SORT,RANDOM,1048576,58.6961
NATIVE_SORT,ORDERED,1,0.00076
NATIVE_SORT,ORDERED,2,0.000252
NATIVE_SORT,ORDERED,4,0.000211
NATIVE_SORT,ORDERED,8,0.000381
NATIVE_SORT,ORDERED,16,0.000484
NATIVE_SORT,ORDERED,32,0.000464
NATIVE_SORT,ORDERED,64,0.000699
NATIVE_SORT,ORDERED,128,0.000732
NATIVE_SORT,ORDERED,256,0.001598
NATIVE_SORT,ORDERED,512,0.001305
NATIVE_SORT,ORDERED,1024,0.002615
NATIVE_SORT,ORDERED,2048,0.004526
NATIVE_SORT,ORDERED,4096,0.008135
NATIVE_SORT,ORDERED,8192,0.01506
NATIVE_SORT,ORDERED,16384,0.033046
NATIVE_SORT,ORDERED,32768,0.062515
NATIVE_SORT,ORDERED,65536,0.121715
NATIVE_SORT,ORDERED,131072,0.229952
NATIVE_SORT,ORDERED,262144,0.467345
NATIVE_SORT,ORDERED,524288,1.05616
NATIVE_SORT,ORDERED,1048576,2.64607
NATIVE_SORT,INVERSE,1,0.000446
NATIVE_SORT,INVERSE,2,0.000222
NATIVE_SORT,INVERSE,4,0.000187
NATIVE_SORT,INVERSE,8,0.001654
NATIVE_SORT,INVERSE,16,0.000318
NATIVE_SORT,INVERSE,32,0.000439
NATIVE_SORT,INVERSE,64,0.000465
NATIVE_SORT,INVERSE,128,0.000507
NATIVE_SORT,INVERSE,256,0.001019
NATIVE_SORT,INVERSE,512,0.000849
NATIVE_SORT,INVERSE,1024,0.001423
NATIVE_SORT,INVERSE,2048,0.00254
NATIVE_SORT,INVERSE,4096,0.004354
NATIVE_SORT,INVERSE,8192,0.009501
NATIVE_SORT,INVERSE,16384,0.020619
NATIVE_SORT,INVERSE,32768,0.040064
NATIVE_SORT,INVERSE,65536,0.090067
NATIVE_SORT,INVERSE,131072,0.153225
NATIVE_SORT,INVERSE,262144,0.312065
NATIVE_SORT,INVERSE,524288,0.787261
NATIVE_SORT,INVERSE,1048576,2.1822
HEAP_SORT,RANDOM,1,0.000214
HEAP_SORT,RANDOM,2,0.000155
HEAP_SORT,RANDOM,4,0.000199
HEAP_SORT,RANDOM,8,0.000274
HEAP_SORT,RANDOM,16,0.000513
HEAP_SORT,RANDOM,32,0.001165
HEAP_SORT,RANDOM,64,0.002424
HEAP_SORT,RANDOM,128,0.005462
HEAP_SORT,RANDOM,256,0.012093
HEAP_SORT,RANDOM,512,0.025249
HEAP_SORT,RANDOM,1024,0.054308
HEAP_SORT,RANDOM,2048,0.117256
HEAP_SORT,RANDOM,4096,0.27817
HEAP_SORT,RANDOM,8192,0.559571
HEAP_SORT,RANDOM,16384,1.30794
HEAP_SORT,RANDOM,32768,3.00106
HEAP_SORT,RANDOM,65536,6.64545
HEAP_SORT,RANDOM,131072,12.5978
HEAP_SORT,RANDOM,262144,26.9653
HEAP_SORT,RANDOM,524288,58.7446
HEAP_SORT,RANDOM,1048576,131.068
HEAP_SORT,ORDERED,1,0.000172
HEAP_SORT,ORDERED,2,9.7e-05
HEAP_SORT,ORDERED,4,0.000126
HEAP_SORT,ORDERED,8,0.000222
HEAP_SORT,ORDERED,16,0.000451
HEAP_SORT,ORDERED,32,0.000894
HEAP_SORT,ORDERED,64,0.001938
HEAP_SORT,ORDERED,128,0.00443
HEAP_SORT,ORDERED,256,0.009627
HEAP_SORT,ORDERED,512,0.020642
HEAP_SORT,ORDERED,1024,0.042103
HEAP_SORT,ORDERED,2048,0.08938
HEAP_SORT,ORDERED,4096,0.194108
HEAP_SORT,ORDERED,8192,0.396607
HEAP_SORT,ORDERED,16384,0.872457
HEAP_SORT,ORDERED,32768,1.7437
HEAP_SORT,ORDERED,65536,3.74878
HEAP_SORT,ORDERED,131072,7.414
HEAP_SORT,ORDERED,262144,15.584
HEAP_SORT,ORDERED,524288,32.4212
HEAP_SORT,ORDERED,1048576,67.2945
HEAP_SORT,INVERSE,1,0.000172
HEAP_SORT,INVERSE,2,0.00018
HEAP_SORT,INVERSE,4,0.000167
HEAP_SORT,INVERSE,8,0.000253
HEAP_SORT,INVERSE,16,0.000514
HEAP_SORT,INVERSE,32,0.001031
HEAP_SORT,INVERSE,64,0.00218
HEAP_SORT,INVERSE,128,0.004729
HEAP_SORT,INVERSE,256,0.009881
HEAP_SORT,INVERSE,512,0.021176
HEAP_SORT,INVERSE,1024,0.044237
HEAP_SORT,INVERSE,2048,0.090131
HEAP_SORT,INVERSE,4096,0.185936
HEAP_SORT,INVERSE,8192,0.395968
HEAP_SORT,INVERSE,16384,0.82509
HEAP_SORT,INVERSE,32768,1.74712
HEAP_SORT,INVERSE,65536,3.55567
HEAP_SORT,INVERSE,131072,7.55008
HEAP_SORT,INVERSE,262144,16.0719
HEAP_SORT,INVERSE,524288,34.451
HEAP_SORT,INVERSE,1048576,67.8582
QUICK_SORT,RANDOM,1,0.000111
QUICK_SORT,RANDOM,2,6.9e-05
QUICK_SORT,RANDOM,4,0.000111
QUICK_SORT,RANDOM,8,0.00018
QUICK_SORT,RANDOM,16,0.000452
QUICK_SORT,RANDOM,32,0.000902
QUICK_SORT,RANDOM,64,0.002173
QUICK_SORT,RANDOM,128,0.004499
QUICK_SORT,RANDOM,256,0.00963
QUICK_SORT,RANDOM,512,0.021125
QUICK_SORT,RANDOM,1024,0.042931
QUICK_SORT,RANDOM,2048,0.091806
QUICK_SORT,RANDOM,4096,0.236905
QUICK_SORT,RANDOM,8192,0.407695
QUICK_SORT,RANDOM,16384,0.907662
QUICK_SORT,RANDOM,32768,1.82827
QUICK_SORT,RANDOM,65536,4.34326
QUICK_SORT,RANDOM,131072,7.85522
QUICK_SORT,RANDOM,262144,16.839
QUICK_SORT,RANDOM,524288,32.7159
QUICK_SORT,RANDOM,1048576,64.7856
QUICK_SORT,ORDERED,1,0.000247
QUICK_SORT,ORDERED,2,9e-05
QUICK_SORT,ORDERED,4,0.000133
QUICK_SORT,ORDERED,8,0.000198
QUICK_SORT,ORDERED,16,0.000284
QUICK_SORT,ORDERED,32,0.000406
QUICK_SORT,ORDERED,64,0.000608
QUICK_SORT,ORDERED,128,0.000922
QUICK_SORT,ORDERED,256,0.001527
QUICK_SORT,ORDERED,512,0.002628
QUICK_SORT,ORDERED,1024,0.005509
QUICK_SORT,ORDERED,2048,0.01191
QUICK_SORT,ORDERED,4096,0.025045
QUICK_SORT,ORDERED,8192,0.054173
QUICK_SORT,ORDERED,16384,0.124382
QUICK_SORT,ORDERED,32768,0.287389
QUICK_SORT,ORDERED,65536,0.722625
QUICK_SORT,ORDERED,131072,1.63987
QUICK_SORT,ORDERED,262144,3.6867
QUICK_SORT,ORDERED,524288,7.28428
QUICK_SORT,ORDERED,1048576,13.2259
QUICK_SORT,INVERSE,1,0.000129
QUICK_SORT,INVERSE,2,8.8e-05
QUICK_SORT,INVERSE,4,0.000111
QUICK_SORT,INVERSE,8,0.000178
QUICK_SORT,INVERSE,16,0.000261
QUICK_SORT,INVERSE,32,0.00036
QUICK_SORT,INVERSE,64,0.000438
QUICK_SORT,INVERSE,128,0.000665
QUICK_SORT,INVERSE,256,0.001221
QUICK_SORT,INVERSE,512,0.002447
QUICK_SORT,INVERSE,1024,0.00519
QUICK_SORT,INVERSE,2048,0.034569
QUICK_SORT,INVERSE,4096,0.023701
QUICK_SORT,INVERSE,8192,0.051201
QUICK_SORT,INVERSE,16384,0.115283
QUICK_SORT,INVERSE,32768,0.276952
QUICK_SORT,INVERSE,65536,0.657309
QUICK_SORT,INVERSE,131072,1.57297
QUICK_SORT,INVERSE,262144,3.58898
QUICK_SORT,INVERSE,524288,7.01875
QUICK_SORT,INVERSE,1048576,12.8384
